title,year,category,genre
Castle in the Sky ,1986,movies,Drama / Romantický / Válečný / Mysteriózní
My Neighbor Totoro ,1988,movies,Drama / Romantický / Válečný / Mysteriózní
Donnie Brasco,1997,movies,Drama / Romantický / Válečný / Mysteriózní
Dil Chahta Hai,2001,movies,Drama / Romantický / Válečný / Mysteriózní
Zindagi Na Milegi Dobara,2011,movies,Drama / Romantický / Válečný / Mysteriózní
Marriage Story,2019,movies,Drama / Romantický / Válečný / Mysteriózní
The Fifth Element,1997,movies,Drama / Romantický / Válečný / Mysteriózní
Ghostbusters,1984,movies,Drama / Romantický / Válečný / Mysteriózní
The Irishman,2019,movies,Drama / Romantický / Válečný / Mysteriózní
Klaus,2019,movies,Drama / Romantický / Válečný / Mysteriózní
John Wick: Chapter Two,2017,movies,Drama / Romantický / Válečný / Mysteriózní
The Social Network,2010,movies,Drama / Romantický / Válečný / Mysteriózní
Seven Years in Tibet,1997,movies,Drama / Romantický / Válečný / Mysteriózní
Dave Chappelle: Sticks and Stones,2019,movies,Drama / Romantický / Válečný / Mysteriózní
Kahaani,2012,movies,Drama / Romantický / Válečný / Mysteriózní
The Butterfly's Dream,2013,movies,Drama / Romantický / Válečný / Mysteriózní
Andhadhun,2018,movies,Drama / Romantický / Válečný / Mysteriózní
ROMA,2018,movies,Drama / Romantický / Válečný / Mysteriózní
Dallas Buyer's Club,2013,movies,Drama / Romantický / Válečný / Mysteriózní
Barfi!,2012,movies,Drama / Romantický / Válečný / Mysteriózní
The Lincoln Lawyer,2011,movies,Drama / Romantický / Válečný / Mysteriózní
"Swades: We, the People",2004,movies,Drama / Romantický / Válečný / Mysteriózní
The Notebook,2004,movies,Drama / Romantický / Válečný / Mysteriózní
Ocean's Eleven,2001,movies,Drama / Romantický / Válečný / Mysteriózní
The Blind Side,2009,movies,Drama / Romantický / Válečný / Mysteriózní
Seven,1995,movies,Drama / Romantický / Válečný / Mysteriózní
Gravity,2013,movies,Drama / Romantický / Válečný / Mysteriózní
Baahubali: The Beginning,2015,movies,Drama / Romantický / Válečný / Mysteriózní
Baahubali 2: The Conclusion,2017,movies,Drama / Romantický / Válečný / Mysteriózní
Contratiempo,2016,movies,Drama / Romantický / Válečný / Mysteriózní
Okja,2017,movies,Drama / Romantický / Válečný / Mysteriózní
Dangal,2016,movies,Drama / Romantický / Válečný / Mysteriózní
Kabhi Haan Kabhi Naa,1994,movies,Drama / Romantický / Válečný / Mysteriózní
Dear Zindagi,2016,movies,Drama / Romantický / Válečný / Mysteriózní
100 Metros,2016,movies,Drama / Romantický / Válečný / Mysteriózní
Pink,2016,movies,Drama / Romantický / Válečný / Mysteriózní
Udta Punjab,2016,movies,Drama / Romantický / Válečný / Mysteriózní
Interrogation,2015,movies,Drama / Romantický / Válečný / Mysteriózní
Divines,2016,movies,Drama / Romantický / Válečný / Mysteriózní
